,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
6136,10,0,1,4.3,612,441,311,10,3400.0,5004
6137,18,0,0,4.2,162,473,2321,18,750.0,5004
6138,13,1,0,4.2,858,473,7293,13,1800.0,621
6139,10,0,0,4.0,53,351,311,10,2000.0,5004
6140,7,0,1,4.1,80,473,311,7,3000.0,5004
6141,17,0,1,4.1,93,441,324,17,1000.0,5004
6142,20,1,1,4.1,853,508,7293,30,1400.0,3279
6143,5,0,1,4.3,355,351,311,125,3500.0,5004
6144,15,0,0,4.3,67,441,2321,15,400.0,5004
6145,15,0,0,4.3,788,508,159,15,900.0,5004
6146,22,0,1,3.9,680,508,980,22,1200.0,5004
6147,10,0,0,4.1,765,441,7293,14,800.0,5004
6148,19,0,1,4.2,538,590,124,19,1500.0,5004
6149,10,0,1,4.3,325,351,7293,24,1200.0,5004
6150,5,0,1,4.3,231,351,311,41,4000.0,5004
6151,6,0,0,3.9,161,69,7293,776,500.0,5004
6152,7,1,0,4.1,114,351,2321,20,700.0,3188
6153,5,0,1,4.0,171,508,7293,1136,1300.0,5004
6154,9,0,1,4.1,270,441,40,1136,4000.0,5004
6156,11,1,1,4.1,354,351,7293,11,1200.0,1024
6157,41,1,1,4.1,450,508,7293,1136,1000.0,5004
6158,23,1,1,4.1,765,473,980,23,1200.0,215
6160,13,0,0,3.9,378,441,357,76,1000.0,5004
6161,18,1,0,4.3,570,473,2321,18,700.0,4839
6162,14,1,0,4.0,162,351,980,1136,1700.0,2714
6163,13,1,0,4.3,901,473,7293,41,2000.0,3406
6164,17,1,1,4.3,550,166,7293,17,1200.0,2632
6166,15,1,1,4.3,1048,443,7293,15,1600.0,3834
6167,11,1,0,4.4,319,508,7293,125,800.0,5004
6168,17,1,1,4.3,225,590,328,21,2000.0,3239
6169,6,0,1,4.3,449,590,311,162,3000.0,5004
6170,13,0,0,4.2,38,351,357,13,2000.0,5004
6171,10,0,1,3.9,312,441,311,10,2000.0,5004
6172,9,0,1,4.4,424,441,40,210,3500.0,5004
6173,21,0,0,4.1,1543,443,324,27,1200.0,5004
6174,13,1,0,4.0,113,590,7293,13,1000.0,5004
6175,17,1,0,4.1,459,508,2321,17,700.0,5004
6176,23,1,1,4.0,188,69,980,23,1300.0,4469
6177,9,0,0,4.3,524,508,7293,9,800.0,5004
6178,45,1,0,4.0,360,441,7293,41,1000.0,4682
6179,26,1,0,2.8,109,166,7293,12,500.0,5004
6180,47,1,0,4.0,175,473,7293,69,750.0,330
6181,10,1,0,3.9,463,473,159,15,800.0,467
6182,9,0,1,4.4,183,443,980,41,1800.0,5004
6183,13,1,0,4.2,172,141,7293,13,800.0,4883
6184,11,0,1,4.1,608,590,37,82,2800.0,5004
6185,18,1,0,4.3,1133,94,2321,18,800.0,4774
6186,9,1,0,4.2,121,443,980,9,1000.0,5004
6187,11,1,0,3.9,205,304,7293,76,500.0,5004
6188,11,0,0,3.8,617,590,298,11,3000.0,5004
6189,8,0,1,3.9,297,166,2321,70,750.0,5004
6190,31,1,0,3.9,366,441,7293,8,800.0,5004
6192,10,0,1,4.1,117,473,7293,10,2000.0,5004
6193,8,0,0,3.9,183,473,7293,10,2200.0,5004
