,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
0,11,1,1,4.1,775,387,7293,50,800.0,5004
1,4,1,0,4.1,787,387,7293,8,800.0,5004
2,11,1,0,3.8,918,387,159,11,800.0,5004
3,2,0,0,3.7,88,387,5221,72,300.0,5004
4,4,0,0,3.8,166,286,7293,4,600.0,5004
5,7,1,0,3.8,286,286,7293,1136,600.0,5004
7,85,1,1,4.6,2556,387,302,85,600.0,5004
8,7,1,0,4.0,324,387,2321,34,700.0,5004
9,7,1,0,4.2,504,387,2321,7,550.0,5004
10,3,1,0,4.1,402,387,2321,273,500.0,5004
11,8,1,1,4.2,150,387,2321,34,600.0,5004
12,3,1,1,4.2,164,387,2321,9,500.0,5004
13,2,0,0,4.0,424,387,2321,125,450.0,5004
14,11,1,0,3.8,918,387,159,11,800.0,5004
15,10,1,0,3.8,90,387,2321,273,650.0,5004
16,4,1,0,3.9,133,387,2321,4,800.0,5004
17,13,1,0,3.8,144,387,2321,13,700.0,5004
18,2,0,0,3.9,93,387,2321,16,300.0,5004
20,3,1,0,3.0,62,387,2321,3,400.0,5004
21,13,1,0,3.7,180,387,2321,13,500.0,5004
23,3,1,0,3.6,62,387,23,3,600.0,5004
29,6,0,0,3.8,148,286,302,6,550.0,5004
30,9,1,0,4.0,219,286,2321,70,600.0,5004
31,2,1,0,2.8,506,387,5221,2,500.0,5004
33,30,1,0,3.9,172,387,667,83,750.0,5004
34,54,1,0,4.2,415,387,5221,54,500.0,1654
35,30,1,0,3.9,230,387,667,167,650.0,5004
37,10,1,0,4.2,1647,387,7293,83,600.0,5004
38,67,1,0,4.4,4884,1030,7293,56,750.0,5004
40,19,1,0,3.8,133,286,5221,43,200.0,5004
42,57,1,0,3.9,286,387,5221,132,500.0,5004
43,55,1,0,3.9,540,387,5221,106,800.0,5004
44,85,1,1,4.6,2556,387,302,85,600.0,5004
45,2,0,0,3.8,36,387,667,38,400.0,5004
46,2,1,0,3.6,244,56,5221,776,300.0,157
47,3,1,0,4.0,804,56,7293,16,450.0,4667
48,43,1,0,3.7,679,2,7293,117,850.0,5004
49,3,1,0,3.1,245,56,5221,3,300.0,4641
52,52,0,0,4.3,345,387,1074,208,400.0,5004
53,4,1,0,4.0,618,1030,7293,4,750.0,5004
54,6,0,0,4.0,1047,387,5221,6,450.0,5004
55,28,1,0,3.9,627,387,667,24,450.0,11
57,6,1,1,4.2,354,387,7293,6,800.0,5004
60,5,0,0,4.2,244,387,7293,5,800.0,5004
61,2,1,1,3.6,163,56,7293,2,800.0,5004
63,14,0,1,4.0,808,387,7293,776,850.0,5004
65,27,1,0,4.1,1720,286,5221,6,400.0,5004
67,6,0,0,4.1,868,387,324,6,1200.0,5004
71,2,0,0,4.1,520,387,5221,2,300.0,5004
74,31,0,0,3.6,299,387,5221,36,300.0,5004
76,6,1,0,4.1,558,286,5221,359,150.0,526
79,6,0,0,3.8,39,387,5221,31,350.0,5004
81,24,1,0,4.2,146,387,137,24,400.0,5004
86,30,1,0,4.4,4401,1030,7293,94,600.0,5004
94,23,0,0,2.6,283,387,7293,1136,600.0,5004
95,3,0,0,3.3,62,387,357,233,800.0,5004
98,6,0,0,3.7,65,387,5221,26,300.0,5004
99,48,1,0,3.8,71,286,1074,23,400.0,5004
100,6,0,0,3.5,52,387,5221,359,300.0,5004
101,2,0,0,3.7,130,387,5221,359,200.0,5004
103,2,0,0,3.8,45,387,341,65,400.0,5004
120,3,1,0,4.1,201,387,5221,103,300.0,3427
145,9,1,0,4.0,771,387,7293,233,450.0,4508
146,9,0,0,3.0,98,387,357,776,800.0,5004
148,6,1,1,4.1,175,1030,7293,46,500.0,2644
150,5,1,0,3.8,540,286,7293,5,650.0,5004
151,2,1,0,3.8,124,56,5221,2,400.0,5004
152,26,1,0,4.1,340,387,341,26,500.0,5004
153,59,1,0,3.8,505,387,5221,132,450.0,5004
155,22,1,0,4.1,438,1030,1074,8,500.0,5004
156,31,1,0,3.7,264,4,7293,10,750.0,5004
159,6,1,0,3.7,97,1030,5221,50,350.0,5004
162,6,1,0,3.6,195,1030,7293,6,800.0,5004
164,10,1,0,4.6,228,1030,2321,30,400.0,5004
166,9,1,1,4.1,364,1030,7293,9,1200.0,5004
167,13,1,0,3.7,107,286,137,9,150.0,5004
168,6,1,0,3.2,167,56,5221,15,300.0,4140
174,6,1,0,4.2,64,286,5221,6,500.0,5004
176,5,1,0,3.0,290,387,5221,5,450.0,5004
177,5,1,0,4.1,233,286,5221,54,200.0,5004
178,2,1,0,3.8,115,56,5221,3,250.0,5004
180,8,1,1,3.9,291,1030,2321,8,650.0,2718
181,4,1,0,4.5,155,1030,137,17,300.0,5004
182,4,1,0,4.1,305,56,7293,37,700.0,5004
185,4,1,0,3.9,38,387,1074,45,150.0,5004
186,24,1,0,3.9,441,387,5221,16,400.0,5004
188,5,1,0,4.3,630,1030,5221,5,200.0,5004
190,34,1,0,3.9,160,56,5221,57,300.0,5004
191,5,1,0,4.2,287,387,5221,1136,350.0,5004
193,3,1,0,4.1,402,387,2321,273,500.0,5004
194,5,1,0,3.8,469,286,7293,18,750.0,5004
195,2,1,0,3.3,511,56,7293,1,550.0,5004
198,3,1,0,3.9,264,387,5221,359,200.0,5004
199,3,1,0,3.0,62,387,2321,3,400.0,5004
200,56,1,0,3.8,693,387,7293,106,750.0,5004
201,7,1,0,3.8,242,1030,7293,7,650.0,5004
203,5,1,0,4.1,163,286,5221,5,500.0,5004
204,4,1,0,4.2,191,286,5221,43,250.0,3922
205,2,1,0,3.5,32,387,5221,2,150.0,5004
206,3,1,0,2.5,247,387,7293,1136,500.0,5004
207,23,1,1,4.1,2339,1030,7293,35,1500.0,5004
208,7,1,0,4.1,337,1030,5221,17,300.0,5004
209,5,1,0,3.9,135,387,7293,52,800.0,5004
210,2,1,0,3.6,172,4,7293,776,700.0,5004
211,14,1,0,3.6,105,387,7293,21,700.0,5004
212,7,1,0,4.2,504,387,2321,7,550.0,5004
217,40,1,1,4.3,1129,1030,7293,41,1300.0,5004
219,29,1,0,4.3,860,387,1074,122,500.0,5004
220,7,1,0,3.8,412,1030,7293,11,700.0,5004
221,7,1,1,3.9,142,1030,7293,7,1000.0,5004
223,22,1,0,3.6,143,1030,7293,19,750.0,5004
226,7,1,0,4.4,181,1030,137,12,250.0,5004
227,9,1,0,3.8,70,1030,5221,93,200.0,5004
228,46,1,0,3.8,164,286,5221,61,600.0,5004
229,39,1,0,3.6,58,56,5221,18,650.0,5004
230,6,0,0,3.8,148,286,302,6,550.0,5004
231,8,0,0,3.9,206,286,5221,6,450.0,5004
235,11,0,0,3.7,217,286,7293,4,450.0,5004
237,6,0,0,3.8,148,286,5221,26,150.0,5004
248,4,1,0,2.9,177,1030,7293,4,700.0,5004
251,45,1,0,3.7,136,387,5221,32,600.0,5004
253,4,1,0,4.1,185,1030,5221,4,200.0,5004
255,38,1,0,3.8,155,4,7293,103,400.0,5004
256,7,1,0,3.8,42,387,5221,233,300.0,2861
257,7,1,0,3.8,286,286,7293,1136,600.0,5004
258,3,1,0,3.8,160,387,7293,776,700.0,5004
259,6,1,0,3.8,59,387,7293,776,750.0,5004
262,14,1,0,4.0,89,1030,5221,14,200.0,5004
264,19,1,0,3.9,40,286,7293,13,600.0,5004
265,6,1,0,2.5,35,286,5221,150,200.0,5004
268,3,1,0,3.6,62,387,23,3,600.0,5004
271,10,1,0,4.1,139,1030,7293,44,550.0,5004
274,5,1,0,3.7,237,387,5221,36,200.0,3131
275,22,1,0,3.9,388,387,7293,3,650.0,5004
277,4,1,0,3.9,128,56,7293,9,500.0,95
278,6,1,1,4.1,1875,1030,7293,2,1200.0,5004
279,10,1,0,3.8,90,387,2321,273,650.0,5004
282,23,1,0,4.2,179,387,667,83,600.0,5004
284,5,1,0,4.3,275,286,5221,359,100.0,2671
285,45,1,0,3.7,323,1030,7293,83,850.0,5004
290,5,1,0,4.3,322,1030,7293,359,400.0,5004
291,8,1,0,2.6,157,1030,2321,8,450.0,5004
292,5,1,0,3.9,543,286,5221,36,300.0,2680
293,13,1,0,3.7,180,387,2321,13,500.0,5004
294,5,1,0,4.2,444,286,5221,359,100.0,3858
295,7,1,0,3.9,134,1030,5221,7,400.0,4141
296,6,1,0,3.8,577,1030,7293,6,900.0,5004
298,6,1,0,3.9,144,1030,7293,37,550.0,5004
299,4,1,0,4.1,787,387,7293,8,800.0,5004
301,8,1,0,3.6,84,387,5221,233,250.0,102
303,5,1,1,4.0,349,387,7293,5,1200.0,5004
304,2,1,0,3.7,248,56,5221,49,400.0,5004
305,6,1,0,4.1,216,286,2321,11,500.0,5004
307,7,1,0,4.0,324,387,2321,34,700.0,5004
308,2,1,0,2.6,231,56,5221,2,400.0,4397
309,1,1,0,3.4,102,4,7293,46,400.0,732
310,4,1,0,3.9,133,387,2321,4,800.0,5004
311,5,1,0,2.8,45,387,7293,7,800.0,5004
313,3,1,0,3.8,75,387,5221,7,200.0,5004
314,27,1,0,4.0,53,2,667,27,600.0,5004
315,6,1,1,4.2,815,1030,7293,776,900.0,5004
316,5,1,1,4.0,633,387,7293,776,800.0,5004
317,7,1,0,3.5,56,1030,1074,27,400.0,5004
322,7,1,0,3.9,70,387,1074,7,400.0,5004
323,8,1,0,3.9,91,1030,2321,13,300.0,5004
330,20,1,0,3.8,77,56,2321,39,650.0,5004
333,4,1,0,3.8,210,56,7293,76,600.0,5004
334,9,1,0,4.1,130,1030,2321,44,650.0,5004
335,5,1,0,4.1,30,1030,137,12,100.0,5004
336,13,1,0,3.8,144,387,2321,13,700.0,5004
338,7,1,0,3.7,133,1030,7293,7,700.0,5004
339,7,1,0,4.0,136,1030,5221,36,350.0,1662
342,13,1,0,3.8,74,286,5221,233,300.0,5004
346,5,1,0,3.7,54,286,2321,30,600.0,5004
350,5,1,0,3.4,58,286,2321,62,400.0,5004
351,5,1,0,3.6,129,387,7293,9,600.0,5004
355,10,1,0,3.5,41,19,11,10,400.0,5004
357,14,1,0,4.1,176,286,7293,39,800.0,5004
359,9,1,0,3.7,47,1030,55,9,400.0,5004
360,7,1,1,3.7,36,1030,7293,7,650.0,5004
374,5,1,0,3.9,101,286,5221,359,150.0,5004
375,10,1,1,4.1,442,1030,217,10,1200.0,5004
390,4,1,0,3.8,53,1030,5221,16,250.0,5004
395,8,1,0,4.0,232,1030,5221,42,400.0,5004
396,28,1,0,3.9,221,1030,7293,210,700.0,5004
397,6,1,1,4.1,1063,1030,980,6,1200.0,5004
398,20,1,0,3.7,93,286,5221,54,200.0,5004
399,6,1,0,3.9,233,1030,7293,6,800.0,5004
400,11,1,0,3.9,211,1030,7293,3,500.0,5004
401,13,1,0,4.0,1778,1030,5221,9,200.0,40
402,1,1,0,3.6,218,15,7293,44,800.0,5004
403,13,1,0,3.7,514,286,2321,9,600.0,5004
404,10,1,1,4.0,866,1030,7293,70,900.0,5004
405,5,1,0,3.2,96,56,5221,1136,400.0,5004
406,7,1,0,3.5,80,387,5221,36,250.0,5004
407,16,1,0,4.0,73,286,157,16,300.0,2993
408,19,1,0,3.9,84,1030,102,138,400.0,5004
409,2,1,0,3.5,88,387,5221,16,350.0,5004
410,5,1,0,3.5,179,387,7293,18,600.0,5004
411,3,1,0,3.8,61,286,5221,5,100.0,5004
412,1,1,0,3.7,128,4,7293,2,450.0,5004
413,19,1,0,3.8,339,1030,5221,233,400.0,729
414,5,1,0,4.1,449,286,5221,54,100.0,5004
415,33,1,0,4.1,210,1030,49,46,150.0,5004
417,4,1,0,3.0,213,387,5221,4,400.0,5004
418,41,1,0,3.2,208,1030,134,46,250.0,4058
419,3,1,0,3.8,70,387,5221,359,100.0,123
420,9,1,0,4.0,219,286,2321,70,600.0,5004
421,3,1,0,3.7,59,387,5221,93,200.0,5004
424,2,1,0,3.7,124,56,7293,17,750.0,5004
456,11,1,1,4.1,775,387,7293,50,800.0,5004
457,8,1,1,4.2,2022,1030,7293,78,1000.0,5004
460,8,1,1,4.2,150,387,2321,34,600.0,1374
461,4,1,0,4.0,232,286,7293,776,750.0,5004
464,7,1,1,3.5,431,1030,7293,1136,800.0,5004
465,25,1,1,4.2,2115,387,7293,18,800.0,5004
469,21,1,0,3.8,155,1030,7293,103,450.0,5004
471,18,1,1,4.1,666,1030,980,79,1000.0,5004
473,8,1,0,3.9,240,286,2321,273,700.0,5004
474,11,1,0,3.8,918,387,159,11,800.0,5004
475,6,1,0,4.0,465,1030,7293,103,600.0,2701
476,10,1,1,4.1,970,1030,121,10,1500.0,5004
477,5,1,0,3.3,128,387,5221,776,300.0,5004
478,4,1,0,3.6,241,56,5221,776,300.0,5004
480,2,1,0,4.3,734,387,5221,103,200.0,3136
481,11,1,0,3.8,130,1030,5221,82,400.0,5004
482,8,1,0,4.2,261,1030,2321,56,700.0,5004
483,2,1,0,4.0,191,56,5221,6,300.0,122
484,4,1,0,4.1,364,286,7293,4,550.0,125
487,7,1,0,3.9,888,387,7293,7,750.0,2694
489,5,1,0,3.9,750,286,7293,44,500.0,3325
490,3,1,1,4.2,164,387,2321,9,500.0,5004
493,5,1,0,3.8,527,286,7293,1136,500.0,5004
494,52,0,0,4.3,345,387,1074,208,400.0,5004
495,3,0,0,4.4,356,387,102,3,150.0,5004
497,4,1,0,3.9,38,387,1074,45,150.0,1799
502,48,1,0,3.9,116,387,1074,23,400.0,2615
503,11,1,0,3.8,918,387,159,11,800.0,5004
506,13,1,0,3.8,144,387,2321,13,700.0,5004
508,29,1,0,4.3,860,387,1074,122,500.0,5004
518,2,0,0,3.8,45,387,341,65,400.0,5004
533,7,1,0,3.9,70,387,1074,7,400.0,5004
535,4,0,0,4.0,98,286,88,2,400.0,5004
537,9,1,0,4.0,219,286,2321,70,600.0,4769
538,16,1,0,4.0,73,286,157,16,300.0,2993
547,7,1,0,2.7,97,286,7293,103,400.0,5004
554,7,1,0,3.9,888,387,7293,7,750.0,2693
555,5,1,1,4.0,349,387,7293,5,1200.0,1148
556,5,1,0,4.2,287,387,5221,1136,350.0,5004
557,85,1,1,4.6,2556,387,302,85,600.0,5004
558,6,1,1,4.2,354,387,7293,6,800.0,620
559,11,1,1,4.1,775,387,7293,50,800.0,5004
560,25,1,1,4.2,2115,387,7293,18,800.0,5004
561,4,0,1,3.8,977,387,298,151,1300.0,5004
562,6,0,0,4.1,868,387,324,6,1200.0,5004
563,7,1,0,4.0,324,387,2321,34,700.0,4422
564,4,1,0,4.1,787,387,7293,8,800.0,5004
565,7,1,0,4.2,504,387,2321,7,550.0,909
566,3,1,0,4.1,402,387,2321,273,500.0,3387
567,8,1,1,4.2,150,387,2321,34,600.0,1375
568,3,1,1,4.2,164,387,2321,9,500.0,2002
569,5,0,0,4.2,244,387,7293,5,800.0,5004
570,9,1,0,4.0,771,387,7293,233,450.0,4507
571,10,1,0,4.2,1647,387,7293,83,600.0,5004
572,14,0,1,4.0,808,387,7293,776,850.0,5004
573,2,0,0,4.0,424,387,2321,125,450.0,5004
574,5,1,0,3.9,135,387,7293,52,800.0,3612
577,11,1,0,3.8,918,387,159,11,800.0,5004
578,10,1,0,3.8,90,387,2321,273,650.0,5004
579,45,1,0,3.9,519,387,7293,5,900.0,5004
580,14,1,0,3.6,105,387,7293,21,700.0,5004
583,4,1,0,3.9,133,387,2321,4,800.0,1287
584,13,1,0,3.8,144,387,2321,13,700.0,5004
585,2,0,0,3.9,93,387,2321,16,300.0,5004
586,7,1,0,3.8,42,387,5221,233,300.0,2861
587,3,1,0,2.5,247,387,7293,1136,500.0,2824
590,3,1,0,3.0,62,387,2321,3,400.0,2384
591,3,1,0,3.8,160,387,7293,776,700.0,4014
595,5,1,0,3.6,129,387,7293,9,600.0,1316
597,3,0,0,3.3,62,387,357,233,800.0,5004
601,23,0,0,2.6,283,387,7293,1136,600.0,5004
605,6,1,0,3.8,59,387,7293,776,750.0,5004
606,5,1,0,3.5,179,387,7293,18,600.0,3557
607,2,0,0,3.8,62,387,5221,42,150.0,5004
615,9,0,0,3.0,98,387,357,776,800.0,5004
618,43,0,0,2.7,128,387,7293,117,850.0,5004
620,5,1,0,2.8,45,387,7293,7,800.0,2140
629,10,1,0,3.5,41,19,11,10,400.0,5004
630,56,1,0,3.7,405,387,7293,106,750.0,4188
631,22,1,0,3.9,388,387,7293,3,650.0,947
632,1,0,0,4.7,651,387,5221,359,100.0,5004
634,2,1,0,4.3,734,387,5221,103,200.0,4656
636,6,0,0,4.0,1047,387,5221,6,450.0,5004
637,59,1,0,3.8,505,387,5221,132,450.0,658
639,3,1,0,3.9,264,387,5221,359,200.0,3187
642,57,1,0,3.9,286,387,5221,132,500.0,3350
643,3,0,0,4.4,343,387,5221,359,100.0,5004
647,3,0,0,3.8,70,387,5221,38,500.0,5004
649,3,1,0,3.8,70,387,5221,359,100.0,124
654,5,1,0,3.7,237,387,5221,36,200.0,2022
656,3,1,0,4.1,201,387,5221,103,300.0,1895
657,2,1,0,2.8,506,387,5221,2,500.0,5004
658,2,0,0,4.1,520,387,5221,2,300.0,5004
661,2,0,0,3.7,88,387,5221,72,300.0,5004
663,45,1,0,3.7,136,387,5221,32,600.0,853
666,2,0,0,3.9,88,387,5221,359,250.0,5004
672,3,0,0,3.8,189,387,5221,359,300.0,5004
676,6,0,0,3.8,39,387,5221,31,350.0,5004
677,55,1,0,3.9,540,387,5221,106,800.0,3090
678,4,0,0,3.6,71,387,5221,78,250.0,5004
686,2,1,0,3.5,88,387,5221,16,350.0,1025
690,46,1,0,3.0,87,387,5221,61,600.0,3456
694,54,1,0,4.2,415,387,5221,54,500.0,1011
695,5,1,0,3.3,128,387,5221,776,300.0,1846
696,2,0,0,4.1,94,387,5221,359,100.0,5004
698,6,0,0,3.7,65,387,5221,26,300.0,5004
701,6,0,0,3.5,52,387,5221,359,300.0,5004
703,5,1,0,3.0,290,387,5221,5,450.0,62
704,3,1,0,3.7,59,387,5221,93,200.0,5004
705,2,0,0,3.7,130,387,5221,359,200.0,5004
708,7,1,0,3.5,80,387,5221,36,250.0,4225
709,24,1,0,3.9,441,387,5221,16,400.0,1992
760,8,1,0,3.6,84,387,5221,233,250.0,733
761,2,0,0,4.0,42,387,5221,6,300.0,5004
763,4,1,0,3.0,213,387,5221,4,400.0,4326
766,3,0,0,4.2,725,1030,5221,36,350.0,5004
767,5,1,0,3.9,750,286,7293,44,500.0,3283
768,4,0,0,3.8,166,286,7293,4,600.0,5004
769,2,0,0,4.4,4460,286,5221,359,150.0,5004
770,2,0,0,3.9,153,286,7293,359,350.0,5004
771,5,1,0,3.8,469,286,7293,18,750.0,1766
772,4,1,0,4.1,364,286,7293,4,550.0,4701
773,7,1,0,3.8,286,286,7293,1136,600.0,3530
774,5,1,0,3.8,527,286,7293,1136,500.0,406
775,5,1,0,3.9,101,286,5221,359,150.0,3856
776,6,1,0,4.1,558,286,5221,359,150.0,5004
778,6,0,0,3.8,148,286,302,6,550.0,5004
779,4,0,0,2.7,377,286,324,6,1100.0,5004
780,8,0,0,3.9,206,286,5221,6,450.0,5004
782,2,0,0,3.9,100,286,5221,233,300.0,5004
783,5,1,0,4.2,444,286,5221,359,100.0,3859
784,2,0,0,3.9,133,286,7293,15,650.0,5004
785,9,1,0,4.0,219,286,2321,70,600.0,4769
786,2,0,0,4.2,253,286,5221,359,250.0,5004
788,2,0,0,3.7,61,286,7293,2,600.0,5004
789,38,1,0,3.8,155,4,7293,7,400.0,4145
790,6,1,0,3.9,233,1030,7293,6,800.0,872
791,31,1,0,3.7,264,4,7293,10,750.0,3503
793,2,0,0,4.1,238,286,5221,359,600.0,5004
797,14,1,0,4.1,176,286,7293,39,800.0,3276
798,20,1,0,3.7,93,286,5221,54,200.0,1717
799,2,0,0,3.8,124,286,5221,2,300.0,5004
800,5,1,0,4.3,275,286,5221,359,100.0,5004
801,19,0,0,4.2,254,286,5221,359,150.0,5004
802,2,0,0,4.1,177,286,5221,359,100.0,5004
804,8,1,0,4.0,132,286,5221,150,200.0,5004
806,13,1,0,3.8,74,286,5221,233,300.0,4369
808,2,1,0,3.6,172,4,7293,776,700.0,5004
811,5,1,0,3.9,543,286,5221,36,300.0,5004
812,2,0,0,4.0,52,286,5221,359,300.0,5004
813,11,0,0,3.7,217,286,7293,4,450.0,5004
817,2,0,0,3.9,111,286,7293,43,700.0,5004
818,19,1,0,3.8,133,286,5221,43,200.0,4500
819,3,0,0,3.8,39,1030,5221,72,250.0,5004
820,3,0,0,4.0,64,286,5221,359,200.0,5004
827,6,0,0,3.8,148,286,5221,26,150.0,5004
830,2,0,0,3.8,55,19,11,2,300.0,5004
855,4,0,1,3.8,977,387,298,151,1300.0,5004
856,6,0,0,4.1,868,387,324,6,1200.0,5004
858,3,0,0,3.3,62,387,357,233,800.0,5004
861,9,0,0,3.0,98,387,357,776,800.0,5004
862,4,0,0,2.7,377,286,324,6,1100.0,5004
863,17,1,1,4.4,2487,496,324,25,900.0,5004
864,4,1,1,4.2,1964,496,7293,4,1000.0,451
865,67,1,0,4.3,3178,496,7293,56,750.0,2867
866,13,1,0,3.3,455,496,7293,79,550.0,2387
868,39,0,1,4.7,3845,989,7293,39,1600.0,5004
869,11,0,0,4.3,353,989,7293,78,1200.0,5004
870,5,0,1,4.1,1234,989,7293,77,800.0,5004
871,14,1,1,4.1,1538,989,7293,14,1000.0,1364
873,41,1,1,3.8,756,989,7293,1136,1000.0,5004
874,8,1,1,4.0,347,989,7293,8,1000.0,5004
876,8,0,1,4.0,165,989,7293,16,1000.0,5004
877,8,0,0,3.3,177,989,7293,52,950.0,5004
879,7,1,0,3.0,102,1444,7293,233,600.0,2774
881,2,0,1,4.0,200,496,2321,125,700.0,5004
882,4,1,0,3.9,102,496,2321,4,450.0,4821
884,3,1,0,3.7,171,496,2321,273,300.0,1163
885,3,1,0,3.7,37,496,2321,30,400.0,2903
886,13,1,0,3.9,40,496,217,20,400.0,610
887,9,0,0,3.9,125,496,2321,9,500.0,5004
888,7,1,0,3.9,49,496,2321,273,600.0,1760
890,23,0,0,3.8,69,496,128,60,700.0,5004
893,14,0,0,3.9,78,496,2321,273,350.0,5004
895,13,1,0,2.7,48,496,23,4,650.0,3372
902,12,1,0,4.1,46,989,2321,12,600.0,4531
903,11,0,0,4.0,129,989,2321,125,600.0,5004
905,39,1,1,3.9,727,989,2321,12,800.0,386
907,9,0,0,4.1,521,989,2321,72,550.0,5004
908,39,1,0,4.1,203,989,23,18,650.0,304
909,85,1,1,4.4,4381,989,302,85,600.0,2223
910,11,1,0,3.7,131,989,2321,11,400.0,2710
912,6,1,0,3.7,46,989,2321,6,450.0,4842
915,12,0,0,3.4,48,989,2321,62,550.0,5004
919,6,1,0,3.7,127,989,2321,26,700.0,501
920,13,1,0,2.7,85,989,2321,13,500.0,3062
923,9,1,0,3.7,335,1444,7293,29,800.0,5004
924,9,1,0,3.8,254,1444,7293,97,800.0,2435
927,7,1,0,4.1,63,989,341,9,300.0,2193
928,9,1,0,4.0,244,1444,5221,33,400.0,5004
932,10,1,0,2.9,255,1444,5221,1136,250.0,5004
933,34,1,0,4.5,549,1444,1074,214,400.0,5004
934,9,1,0,4.1,775,1444,5221,103,300.0,5004
936,18,1,0,3.6,208,989,341,11,300.0,4823
937,5,1,0,4.1,739,989,667,73,500.0,4622
938,14,1,0,3.8,310,496,5221,1136,400.0,1102
940,11,1,0,4.0,126,1444,5221,1136,150.0,1901
941,26,1,0,4.1,427,496,341,26,500.0,1873
942,11,1,0,4.0,197,1444,5221,1136,300.0,5004
943,12,1,0,4.1,601,1444,5221,12,700.0,4767
944,2,1,0,3.9,488,989,341,5,400.0,1130
945,3,1,0,4.0,396,496,5221,233,400.0,5004
946,11,1,0,3.6,474,1444,5221,76,450.0,5004
947,11,1,0,2.9,172,1444,5221,776,300.0,3171
948,5,1,0,3.1,175,496,5221,23,250.0,5004
949,18,1,0,4.0,939,1444,7293,162,600.0,5004
950,8,1,0,3.9,173,1444,5221,8,250.0,4858
951,2,1,0,3.9,77,496,5221,1136,400.0,345
952,10,1,0,3.9,326,1444,2321,10,200.0,5004
953,24,1,0,3.3,212,989,5221,26,350.0,1270
954,15,1,0,4.1,464,1444,5221,9,300.0,5004
955,28,1,0,3.3,628,496,667,24,450.0,4113
956,19,1,0,3.6,518,989,7293,233,400.0,2823
957,5,1,0,3.9,70,496,1074,204,350.0,586
958,10,1,0,3.9,62,989,5221,6,300.0,1080
961,52,1,0,4.4,819,1030,1074,208,400.0,5004
965,4,1,1,4.2,1964,496,7293,4,1000.0,449
967,30,1,0,4.0,138,496,667,167,650.0,1967
968,13,1,0,3.3,455,496,7293,79,550.0,2386
971,6,1,0,3.8,181,496,217,82,600.0,3633
974,6,1,0,3.6,43,989,5221,6,300.0,812
975,56,1,0,2.7,159,989,5221,83,750.0,4188
984,45,1,0,3.2,166,496,5221,32,600.0,5004
986,2,1,0,3.7,128,496,341,97,400.0,2745
989,9,1,0,2.9,126,1444,5221,73,300.0,542
991,27,1,0,4.0,952,1030,5221,6,400.0,1965
993,51,1,0,3.8,472,496,5221,64,600.0,1806
994,17,1,1,4.0,739,496,7293,37,800.0,2958
996,11,1,0,3.9,255,1444,7293,79,500.0,1095
997,19,1,0,4.0,1974,989,7293,40,800.0,4653
1000,18,1,1,4.2,1428,989,7293,25,800.0,1365
1008,7,1,0,4.0,332,989,5221,233,300.0,5004
1009,5,1,1,4.0,199,989,5221,61,700.0,2210
1013,59,1,0,3.9,437,989,5221,132,400.0,661
1014,7,1,0,3.8,207,496,7293,6,700.0,933
1015,85,1,1,4.4,4381,989,302,85,600.0,5004
1016,2,1,0,3.8,55,496,5221,233,300.0,5004
1018,7,1,0,4.0,597,496,5221,1136,400.0,1549
1022,7,1,0,3.0,102,1444,7293,233,600.0,5004
1023,9,1,0,3.9,189,1444,5221,34,300.0,1176
1024,11,1,0,3.7,131,989,2321,11,400.0,5004
1025,47,1,0,4.2,373,989,7293,69,750.0,5004
1026,9,1,0,3.9,435,1444,7293,62,650.0,2984
1028,14,1,0,4.1,292,1444,7293,15,700.0,5004
1029,34,1,0,3.6,137,496,5221,57,300.0,5004
1030,5,1,0,3.2,133,496,7293,137,500.0,5004
1031,12,1,0,3.9,37,989,341,12,250.0,3844
1032,6,1,0,3.7,170,989,5221,6,200.0,5004
1034,37,1,0,3.6,794,496,7293,94,550.0,4165
1035,13,1,0,4.6,404,496,7293,11,1000.0,5004
1040,26,1,1,3.9,561,496,7293,1136,900.0,5004
1041,13,1,1,3.9,486,1444,2321,13,700.0,5004
1045,12,1,0,3.9,320,496,7293,776,650.0,2484
1046,22,1,0,4.1,237,989,1074,8,500.0,2614
1049,16,1,1,3.9,1227,496,7293,3,900.0,1162
1051,27,1,0,4.0,95,496,667,27,600.0,4890
1052,14,1,1,4.1,1538,989,7293,14,1000.0,2463
1053,7,1,0,3.7,110,496,7293,53,800.0,3491
1055,11,1,0,4.1,381,1444,5221,57,250.0,4027
1058,54,1,0,3.9,251,496,667,54,500.0,1018
1059,3,1,0,3.0,353,989,5221,18,400.0,5004
1060,11,1,0,4.0,205,989,667,82,450.0,2019
1061,29,1,0,3.9,183,1444,5221,36,250.0,4637
1062,18,1,0,3.9,99,496,1074,208,400.0,5004
1064,5,1,0,4.1,260,989,5221,1136,300.0,5004
1065,9,1,0,3.9,355,1444,5221,776,400.0,5004
1066,9,1,0,4.1,83,1444,5221,26,400.0,5004
1067,6,1,0,2.5,321,989,5221,6,400.0,3358
1068,18,1,0,3.9,362,1444,7293,1136,600.0,5004
1069,15,1,1,4.2,2166,989,217,9,1200.0,1749
1072,38,1,0,4.0,182,989,102,138,400.0,5004
1076,4,1,1,3.8,500,496,7293,4,1000.0,5004
1078,45,1,0,4.0,532,496,7293,41,800.0,5004
1081,10,1,1,3.5,551,496,7293,10,600.0,5004
